Record Length,16384
Sample Interval,CH1:0.0004000000000 CH2:0.0004000000000
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,1.0000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.34800,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.36000,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34400,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.36000,0.00
-858995.20000000000,-0.36000,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35600,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.36000,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.34800,0.00
-858995.30000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,-0.04000
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.36400,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.36800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,-0.04000
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.04000
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35600,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35600,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35600,0.00
-858995.30000000000,-0.35200,0.00
-858995.30000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,-0.04000
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,-0.04000
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.36000,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.36400,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34800,0.00
-858995.20000000000,-0.36000,-0.04000
-858995.20000000000,-0.36000,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35600,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.35200,0.00
-858995.20000000000,-0.34400,0.00
-858995.20000000000,-0.34800,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35200,-0.04000
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.34000,-0.04000
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.36000,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.36000,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.34400,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.36000,0.00
-858995.10000000000,-0.35200,-0.04000
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34400,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34400,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,-0.04000
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.36400,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.36000,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,-0.04000
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.36000,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35200,-0.04000
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.36000,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,-0.04000
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35600,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.34800,0.00
-858995.10000000000,-0.35200,0.00
-858995.10000000000,-0.34400,0.00
-858995.10000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,-0.04000
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,-0.04000
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35600,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,-0.04000
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.34400,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.34800,0.00
-858995.00000000000,-0.35200,0.00
-858995.00000000000,-0.35200,-0.04000
-858995.00000000000,-0.35200,0.00
